日期,日水处理量_m3,日光伏发电量_kWh,日减排量_tCO2
2024-01-01,338737.4868763617,2250.2029509683002,0.09225832098970031
2024-01-02,333426.1669263604,2285.2798260322556,0.09369647286732248
2024-01-03,340000.32226578804,2353.503179044724,0.09649363034083369
2024-01-04,347322.1735449349,2290.517897590905,0.0939112338012271
2024-01-05,332624.09632697224,2433.7459269390993,0.09978358300450307
2024-01-06,313058.1022631035,2523.8184159328075,0.1034765550532451
2024-01-07,327333.7597004865,2663.526013727793,0.10920456656283951
2024-01-08,341001.94732768286,2603.2085463215253,0.10673155039918254
2024-01-09,330655.7379153281,2747.751525723112,0.11265781255464759
2024-01-10,339120.96790887753,2347.20524533357,0.09623541505867637
2024-01-11,330706.3995319556,2524.7086335937324,0.10351305397734303
2024-01-12,330687.06014437857,2390.4925215830967,0.09801019338490696
2024-01-13,316806.209548152,2596.351567337108,0.10645041426082143
2024-01-14,299838.9899177032,2148.3617960335578,0.08808283363737586
2024-01-15,320154.49684173265,2080.1971804187915,0.08528808439717045
2024-01-16,329879.3961411835,2045.8487482842613,0.08387979867965471
2024-01-17,326110.7939973501,1784.5295452207222,0.0731657113540496
2024-01-18,337211.23089538293,1931.1398598465687,0.07917673425370932
2024-01-19,326987.4595666312,1847.2386563691002,0.07573678491113311
2024-01-20,303782.94470528275,1919.8156752758885,0.07871244268631142
2024-01-21,326439.7229013608,1909.9566720551688,0.07830822355426191
2024-01-22,332694.1669273579,2085.7313634843454,0.08551498590285815
2024-01-23,335147.5321706939,1956.061360495775,0.08019851578032677
2024-01-24,322665.2860193411,1761.7906609992722,0.07223341710097016
2024-01-25,330029.1620834158,1736.6003318201438,0.07120061360462589
2024-01-26,335510.5074202744,1945.282014309649,0.07975656258669561
2024-01-27,305840.11749707593,1750.905665512125,0.07178713228599713
2024-01-28,317859.0487395521,2208.281639926265,0.09053954723697687
2024-01-29,329558.60528052953,2181.148585695367,0.08942709201351004
2024-01-30,332142.79599303723,2030.310722483371,0.08324273962181822
2024-01-31,329549.67257259914,1934.4872716416012,0.07931397813730565
2024-02-01,353722.8203241839,2830.309086153211,0.11604267253228165
2024-02-02,337953.8498289388,2684.4901586265896,0.11006409650369017
2024-02-03,309767.9725564554,2961.3858867942467,0.12141682135856412
2024-02-04,324724.54171729065,2589.291450921742,0.10616094948779142
2024-02-05,327749.7223317684,2787.317012014166,0.11427999749258079
2024-02-06,339833.1763483275,2910.0453486749766,0.11931185929567405
2024-02-07,321505.3840205052,2929.7491818168905,0.12011971645449251
2024-02-08,326842.49678190536,2849.4801822008035,0.11682868747023294
2024-02-09,339731.736032336,2991.055518742367,0.12263327626843704
